AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-8.48,-2.39,11.61,-1.23,1.33,-0.24,1721027680633
-9.41,2.35,18.15,-0.90,0.64,-0.16,1721027680644
-8.42,-3.05,18.72,-0.41,0.11,0.01,1721027680647
-8.42,-3.17,16.89,0.26,-0.42,0.18,1721027680650
-7.92,0.48,12.77,0.95,-0.85,0.21,1721027680653
-7.00,2.19,10.30,1.30,-1.06,0.17,1721027680656
-6.09,2.54,9.58,1.43,-1.29,0.08,1721027680659
-4.53,0.90,8.88,1.09,-1.42,0.07,1721027680662
-3.62,-0.76,6.09,0.63,-1.44,0.18,1721027680664
-2.91,-2.75,4.52,0.26,-1.37,0.31,1721027680667
-1.98,-4.74,5.26,-0.04,-1.19,0.41,1721027680670
-1.27,-6.86,6.47,-0.26,-0.95,0.52,1721027680673
0.79,-3.27,6.94,-0.22,0.13,0.82,1721027680684
0.94,-0.72,8.90,-0.18,0.31,0.84,1721027680687
1.30,4.60,12.02,-0.28,0.58,0.82,1721027680690
1.51,8.12,11.50,-0.49,0.85,0.75,1721027680693
1.68,7.53,11.99,-0.63,1.03,0.68,1721027680696
1.29,3.52,14.27,-0.63,1.03,0.64,1721027680698
0.79,0.83,14.50,-0.53,0.86,0.63,1721027680701
0.71,1.41,12.08,-0.26,0.56,0.59,1721027680704
0.79,1.99,9.51,0.12,0.16,0.50,1721027680707
2.52,2.24,7.90,0.09,-1.11,0.27,1721027680718
2.97,1.26,6.94,-0.09,-1.27,0.15,1721027680721
3.69,-0.73,8.65,-0.23,-1.33,0.05,1721027680724
4.50,-1.18,9.39,-0.30,-1.28,0.01,1721027680727
4.86,-0.71,10.24,-0.24,-1.15,-0.01,1721027680730
4.98,-0.45,11.58,-0.12,-0.90,-0.06,1721027680732
4.96,-0.07,12.23,-0.06,-0.54,-0.16,1721027680735
4.85,-0.04,12.24,-0.09,-0.10,-0.25,1721027680738
4.62,-0.65,12.77,-0.17,0.34,-0.30,1721027680741
2.56,-3.85,15.78,-0.30,1.59,-0.34,1721027680752
1.05,-3.69,16.28,-0.24,1.79,-0.36,1721027680755
-1.02,-1.95,17.55,-0.16,1.71,-0.38,1721027680758
-2.71,1.13,16.34,-0.12,1.35,-0.44,1721027680761
-3.61,3.17,13.10,-0.01,0.85,-0.55,1721027680764
-4.62,2.47,11.72,0.21,0.30,-0.69,1721027680766
-5.31,0.86,10.45,0.44,-0.26,-0.80,1721027680769
-5.39,0.70,8.08,0.65,-0.76,-0.88,1721027680772
-5.25,1.70,5.90,0.82,-1.14,-0.90,1721027680775
-4.30,2.85,6.42,0.49,-1.38,-0.72,1721027680786
-4.12,2.42,3.87,0.27,-1.16,-0.53,1721027680789
-3.99,1.12,4.04,0.15,-0.90,-0.26,1721027680792
-3.84,-0.41,5.42,0.04,-0.59,0.05,1721027680795
-3.80,-0.27,5.93,-0.08,-0.25,0.33,1721027680798
-3.57,0.40,5.98,-0.17,0.10,0.53,1721027680800
-2.60,0.13,7.36,-0.28,0.44,0.66,1721027680803
-2.06,-0.46,9.33,-0.48,0.75,0.78,1721027680806
-2.05,-0.98,10.25,-0.69,1.02,0.89,1721027680809
-2.27,-1.67,12.50,-0.87,1.14,0.98,1721027680812
-2.19,2.29,17.88,-0.63,0.39,1.05,1721027680823
-1.58,1.29,19.77,-0.22,-0.07,1.00,1721027680826
-0.57,0.31,20.05,0.10,-0.55,0.95,1721027680829
0.54,0.74,18.27,0.41,-0.95,0.91,1721027680832
1.73,1.97,15.95,0.68,-1.21,0.87,1721027680835
2.58,2.90,12.11,0.87,-1.35,0.81,1721027680837
3.28,3.31,8.02,0.97,-1.40,0.71,1721027680840
