AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
0.57,2.91,9.99,0.10,0.46,-0.29,1720971584025
0.23,3.13,9.68,0.08,0.48,-0.30,1720971584028
-0.12,3.23,9.13,0.06,0.46,-0.31,1720971584031
-1.09,3.51,9.00,0.02,0.14,-0.29,1720971584041
-1.22,3.72,9.57,-0.00,0.04,-0.28,1720971584044
-1.20,3.75,9.97,-0.04,-0.04,-0.26,1720971584047
-1.21,2.71,11.24,-0.07,-0.13,-0.13,1720971584057
-1.11,2.37,11.57,-0.04,-0.11,-0.09,1720971584060
-0.88,2.26,11.68,-0.02,-0.07,-0.04,1720971584063
-0.23,2.67,11.45,0.03,0.06,0.11,1720971584073
-0.11,2.80,11.32,0.03,0.07,0.11,1720971584076
0.09,2.90,11.19,0.03,0.08,0.10,1720971584079
0.26,3.35,10.21,0.09,-0.03,-0.00,1720971584089
0.03,3.34,9.66,0.13,-0.07,-0.06,1720971584092
-0.11,2.83,9.22,0.16,-0.10,-0.13,1720971584095
-0.49,2.81,8.05,0.09,-0.18,-0.13,1720971584105
-0.49,2.70,8.37,0.03,-0.15,-0.10,1720971584108
-0.59,2.49,8.64,-0.04,-0.10,-0.08,1720971584111
-0.61,0.18,9.32,-0.09,0.14,0.06,1720971584121
-0.66,0.53,9.54,-0.06,0.20,0.10,1720971584124
-0.63,0.61,10.07,-0.01,0.24,0.12,1720971584127
-0.24,1.35,11.02,-0.03,0.25,0.22,1720971584137
-0.10,1.31,10.95,-0.02,0.19,0.21,1720971584140
0.10,1.30,11.02,0.01,0.10,0.21,1720971584143
0.59,2.64,11.29,0.07,-0.22,0.15,1720971584153
0.65,2.50,10.78,0.08,-0.28,0.11,1720971584156
0.72,2.15,10.08,0.10,-0.33,0.08,1720971584159
0.99,2.50,9.31,0.10,-0.36,0.08,1720971584169
1.08,2.73,9.21,0.05,-0.29,0.09,1720971584172
1.12,2.68,9.08,-0.00,-0.21,0.10,1720971584175
1.31,1.24,9.49,-0.07,0.11,0.17,1720971584185
1.34,1.37,9.92,-0.06,0.19,0.18,1720971584188
1.40,1.71,10.46,-0.04,0.26,0.19,1720971584191
1.23,1.39,10.89,-0.05,0.30,0.18,1720971584201
1.03,1.25,10.45,-0.02,0.24,0.15,1720971584204
0.90,1.24,9.99,0.02,0.14,0.12,1720971584207
0.80,2.06,9.73,0.07,-0.22,0.07,1720971584217
0.62,2.25,9.49,0.04,-0.29,0.05,1720971584220
0.64,1.84,9.29,0.01,-0.33,0.03,1720971584223
0.91,1.36,9.40,0.02,-0.31,0.12,1720971584233
1.11,1.75,10.07,0.01,-0.24,0.16,1720971584236
1.28,2.11,10.41,-0.02,-0.13,0.18,1720971584239
1.42,1.36,9.64,0.02,0.15,0.22,1720971584249
1.37,1.42,9.19,0.04,0.18,0.21,1720971584252
1.27,1.90,9.00,0.05,0.18,0.19,1720971584255
1.08,3.38,9.54,-0.01,0.08,0.07,1720971584265
0.94,3.04,9.59,-0.07,0.04,0.05,1720971584268
0.76,2.54,9.57,-0.09,-0.01,0.05,1720971584271
0.32,1.79,10.72,-0.04,-0.08,0.04,1720971584281
0.22,1.54,10.84,-0.06,-0.06,0.05,1720971584284
0.07,1.16,10.83,-0.07,-0.04,0.08,1720971584287
-0.11,0.45,10.96,-0.05,0.02,0.16,1720971584297
-0.02,0.44,11.13,-0.04,0.03,0.17,1720971584300
0.14,0.53,11.22,-0.02,0.03,0.20,1720971584303
0.44,2.15,10.87,0.08,-0.08,0.25,1720971584313
0.57,2.22,10.77,0.08,-0.13,0.23,1720971584316
0.78,2.75,10.47,0.06,-0.18,0.21,1720971584319
1.09,3.57,10.98,0.04,-0.29,0.14,1720971584329
1.14,3.47,10.75,0.03,-0.28,0.13,1720971584332
