AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.84,-0.17,10.13,0.01,0.01,-0.03,1721028195937
1.82,-0.16,10.15,0.01,0.01,-0.03,1721028195947
1.83,-0.17,10.13,0.01,0.01,-0.03,1721028195950
1.84,-0.17,10.10,0.01,0.01,-0.02,1721028195953
1.86,-0.18,10.11,0.01,0.01,-0.02,1721028195956
1.87,-0.18,10.10,0.01,0.01,-0.02,1721028195959
1.89,-0.18,10.14,0.01,0.01,-0.03,1721028195969
1.89,-0.18,10.16,0.01,0.01,-0.03,1721028195972
1.89,-0.16,10.14,0.01,0.01,-0.03,1721028195975
1.90,-0.16,10.13,0.01,0.01,-0.03,1721028195978
1.90,-0.17,10.14,0.01,0.01,-0.03,1721028195981
1.89,-0.19,10.13,0.01,0.01,-0.03,1721028195991
1.91,-0.18,10.10,0.01,0.01,-0.03,1721028195994
1.90,-0.16,10.11,0.01,0.02,-0.03,1721028195997
1.88,-0.17,10.13,0.01,0.02,-0.03,1721028196000
1.88,-0.18,10.11,0.01,0.02,-0.03,1721028196003
1.89,-0.16,10.09,0.01,0.02,-0.03,1721028196013
1.91,-0.16,10.10,0.01,0.02,-0.03,1721028196016
1.89,-0.18,10.10,0.01,0.02,-0.03,1721028196019
1.89,-0.20,10.10,0.01,0.02,-0.03,1721028196022
1.91,-0.18,10.14,0.01,0.02,-0.03,1721028196025
1.88,-0.16,10.15,0.01,0.02,-0.03,1721028196035
1.87,-0.16,10.12,0.01,0.02,-0.03,1721028196038
1.86,-0.17,10.11,0.01,0.02,-0.03,1721028196041
1.86,-0.15,10.09,0.01,0.02,-0.03,1721028196044
1.89,-0.19,10.14,0.01,0.02,-0.03,1721028196047
1.86,-0.18,10.16,0.01,0.02,-0.03,1721028196057
1.86,-0.18,10.17,0.01,0.02,-0.03,1721028196060
1.85,-0.17,10.14,0.01,0.02,-0.03,1721028196063
1.87,-0.16,10.11,0.01,0.02,-0.03,1721028196066
1.86,-0.14,10.12,0.01,0.02,-0.03,1721028196069
1.91,-0.14,10.14,0.01,0.02,-0.03,1721028196079
1.90,-0.17,10.14,0.01,0.02,-0.03,1721028196082
1.89,-0.17,10.11,0.01,0.02,-0.03,1721028196085
1.89,-0.15,10.15,0.01,0.02,-0.03,1721028196088
1.89,-0.14,10.12,0.01,0.02,-0.02,1721028196091
1.91,-0.14,10.13,0.01,0.02,-0.03,1721028196101
1.91,-0.16,10.16,0.01,0.02,-0.03,1721028196104
1.91,-0.13,10.16,0.01,0.02,-0.02,1721028196107
1.91,-0.15,10.13,0.01,0.02,-0.02,1721028196110
1.90,-0.16,10.12,0.01,0.02,-0.02,1721028196113
1.91,-0.15,10.13,0.01,0.02,-0.02,1721028196123
1.90,-0.16,10.13,0.01,0.02,-0.02,1721028196126
1.91,-0.16,10.13,0.01,0.02,-0.02,1721028196129
1.91,-0.17,10.11,0.01,0.02,-0.03,1721028196132
1.91,-0.16,10.13,0.01,0.02,-0.02,1721028196135
1.87,-0.13,10.11,0.01,0.02,-0.03,1721028196145
1.88,-0.15,10.10,0.01,0.02,-0.03,1721028196148
1.90,-0.18,10.13,0.01,0.02,-0.02,1721028196151
1.89,-0.19,10.14,0.01,0.02,-0.03,1721028196154
1.88,-0.16,10.10,0.01,0.02,-0.03,1721028196157
1.89,-0.14,10.11,0.01,0.02,-0.03,1721028196160
1.90,-0.17,10.11,0.01,0.02,-0.03,1721028196170
1.89,-0.15,10.09,0.01,0.02,-0.03,1721028196173
1.88,-0.16,10.14,0.01,0.02,-0.03,1721028196176
1.87,-0.16,10.12,0.01,0.02,-0.03,1721028196179
1.88,-0.18,10.09,0.01,0.02,-0.03,1721028196182
1.87,-0.18,10.11,0.01,0.02,-0.03,1721028196192
1.86,-0.17,10.14,0.01,0.02,-0.03,1721028196195
1.87,-0.17,10.11,0.01,0.02,-0.03,1721028196198
1.86,-0.18,10.13,0.01,0.02,-0.03,1721028196201
1.87,-0.17,10.11,0.01,0.02,-0.03,1721028196204
1.86,-0.14,10.16,0.01,0.02,-0.03,1721028196214
1.85,-0.17,10.15,0.01,0.02,-0.03,1721028196217
1.84,-0.16,10.11,0.01,0.02,-0.03,1721028196220
1.84,-0.17,10.09,0.01,0.02,-0.03,1721028196223
1.84,-0.15,10.11,0.01,0.02,-0.03,1721028196226
1.82,-0.19,10.08,0.01,0.02,-0.03,1721028196236
1.81,-0.18,10.13,0.01,0.02,-0.03,1721028196239
1.80,-0.16,10.12,0.01,0.02,-0.02,1721028196242
1.83,-0.17,10.12,0.01,0.02,-0.02,1721028196245
1.81,-0.16,10.15,0.01,0.02,-0.02,1721028196248
1.83,-0.17,10.12,0.01,0.02,-0.03,1721028196258
1.83,-0.15,10.14,0.01,0.02,-0.02,1721028196261
1.85,-0.17,10.13,0.01,0.02,-0.02,1721028196264
1.85,-0.17,10.15,0.01,0.02,-0.02,1721028196267
1.84,-0.17,10.12,0.01,0.02,-0.02,1721028196270
1.87,-0.17,10.14,0.02,0.02,-0.03,1721028196280
1.86,-0.17,10.13,0.01,0.02,-0.02,1721028196283
1.85,-0.16,10.12,0.01,0.02,-0.02,1721028196286
1.83,-0.18,10.11,0.01,0.02,-0.02,1721028196289
1.82,-0.16,10.12,0.01,0.02,-0.02,1721028196292
1.85,-0.19,10.15,0.01,0.02,-0.03,1721028196302
1.85,-0.19,10.16,0.01,0.02,-0.03,1721028196305
1.84,-0.20,10.11,0.01,0.02,-0.03,1721028196308
1.83,-0.19,10.11,0.01,0.01,-0.03,1721028196311
1.83,-0.17,10.13,0.01,0.02,-0.03,1721028196314
1.83,-0.18,10.18,0.01,0.02,-0.03,1721028196324
1.81,-0.19,10.19,0.01,0.02,-0.03,1721028196327
1.83,-0.18,10.15,0.01,0.02,-0.03,1721028196330
1.84,-0.18,10.16,0.01,0.02,-0.03,1721028196333
1.83,-0.18,10.16,0.01,0.02,-0.03,1721028196336
1.82,-0.16,10.11,0.01,0.01,-0.03,1721028196346
1.84,-0.16,10.12,0.01,0.01,-0.03,1721028196349
1.82,-0.14,10.12,0.01,0.01,-0.03,1721028196352
1.83,-0.14,10.11,0.01,0.01,-0.03,1721028196355
1.83,-0.14,10.12,0.01,0.01,-0.03,1721028196358
1.84,-0.18,10.12,0.01,0.01,-0.02,1721028196368
1.86,-0.17,10.16,0.01,0.01,-0.02,1721028196371
1.86,-0.17,10.12,0.01,0.01,-0.02,1721028196374
1.85,-0.17,10.13,0.01,0.01,-0.03,1721028196377
1.86,-0.15,10.12,0.01,0.01,-0.02,1721028196380
1.84,-0.16,10.08,0.01,0.01,-0.02,1721028196390
1.84,-0.17,10.11,0.01,0.01,-0.02,1721028196393
1.83,-0.17,10.10,0.01,0.01,-0.03,1721028196396
1.84,-0.17,10.11,0.01,0.01,-0.03,1721028196399
1.88,-0.16,10.10,0.01,0.01,-0.03,1721028196402
