AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.15,-0.68,8.74,0.08,-0.21,-0.28,1721026731864
1.26,-0.45,8.00,0.11,-0.34,-0.32,1721026731867
1.36,-0.07,7.69,0.11,-0.41,-0.37,1721026731870
1.62,0.18,7.80,0.07,-0.42,-0.39,1721026731872
2.05,0.46,8.06,-0.12,-0.17,-0.36,1721026731882
2.15,0.12,8.41,-0.14,-0.01,-0.33,1721026731885
2.14,-0.23,8.91,-0.13,0.18,-0.31,1721026731888
2.22,-0.78,9.44,-0.12,0.37,-0.29,1721026731891
2.10,-0.85,9.64,-0.11,0.55,-0.30,1721026731894
2.03,-0.65,9.93,-0.10,0.69,-0.31,1721026731896
1.47,-0.27,11.13,-0.12,0.81,-0.38,1721026731906
1.10,-0.11,11.14,-0.09,0.71,-0.42,1721026731909
0.78,-0.17,11.26,-0.05,0.54,-0.47,1721026731912
0.54,0.04,11.34,-0.01,0.31,-0.52,1721026731915
0.45,0.43,11.36,0.02,0.08,-0.57,1721026731918
0.44,0.83,11.55,0.03,-0.12,-0.61,1721026731920
0.60,1.11,11.42,0.01,-0.31,-0.70,1721026731931
0.57,0.99,11.40,0.01,-0.23,-0.69,1721026731934
0.48,1.00,11.24,0.01,-0.11,-0.68,1721026731937
0.33,1.16,11.27,0.00,0.05,-0.67,1721026731940
0.13,1.39,11.38,-0.02,0.22,-0.65,1721026731943
-0.04,1.58,11.45,-0.05,0.39,-0.61,1721026731945
-1.52,0.64,11.51,-0.10,0.69,-0.48,1721026731955
-2.02,0.32,11.15,-0.09,0.67,-0.47,1721026731958
-2.44,0.47,10.19,-0.05,0.57,-0.46,1721026731961
-2.77,0.51,9.37,-0.00,0.41,-0.45,1721026731964
-3.06,0.38,9.07,0.02,0.22,-0.45,1721026731967
-3.20,0.24,8.86,0.01,0.04,-0.45,1721026731969
-2.67,-0.81,10.26,-0.13,-0.27,-0.37,1721026731979
-2.49,-0.60,11.07,-0.17,-0.25,-0.31,1721026731982
-2.17,-0.53,11.64,-0.19,-0.17,-0.24,1721026731985
-1.96,-0.88,12.32,-0.18,-0.04,-0.17,1721026731988
-1.70,-1.60,12.73,-0.16,0.10,-0.10,1721026731991
-1.62,-2.03,12.76,-0.13,0.23,-0.03,1721026731993
-1.49,-2.06,12.63,-0.09,0.30,0.00,1721026731996
-0.95,-0.86,11.20,0.08,0.21,0.09,1721026732007
-0.82,-0.14,10.25,0.09,0.08,0.08,1721026732010
-0.68,-0.14,9.60,0.11,-0.05,0.03,1721026732013
-0.49,-0.48,9.32,0.11,-0.17,-0.03,1721026732016
-0.19,-0.64,8.81,0.10,-0.26,-0.08,1721026732019
0.06,-0.30,8.78,0.10,-0.31,-0.12,1721026732021
0.25,0.10,9.05,0.09,-0.32,-0.12,1721026732024
0.47,0.55,10.76,-0.05,0.07,-0.13,1721026732035
0.31,-0.12,10.72,-0.03,0.24,-0.09,1721026732038
0.07,-0.38,10.70,0.02,0.38,-0.05,1721026732041
-0.17,-0.35,10.93,0.06,0.51,-0.02,1721026732044
-0.44,-0.10,11.09,0.05,0.59,-0.00,1721026732047
-0.69,0.10,11.19,0.02,0.62,-0.00,1721026732049
-1.82,-1.36,11.52,-0.15,0.20,-0.01,1721026732060
-1.91,-2.22,11.56,-0.07,0.01,-0.02,1721026732063
-1.81,-2.74,11.42,0.04,-0.17,-0.01,1721026732066
-1.62,-2.60,10.93,0.15,-0.31,0.01,1721026732069
-1.39,-2.19,10.41,0.24,-0.39,0.03,1721026732072
-1.24,-1.98,10.06,0.27,-0.41,0.05,1721026732074
-0.28,-1.24,7.70,0.10,-0.20,0.15,1721026732085
-0.01,-1.31,7.49,0.06,-0.12,0.19,1721026732088
0.13,-1.12,7.51,0.04,-0.04,0.22,1721026732091
0.40,-0.97,8.13,0.04,0.05,0.24,1721026732094
0.64,-0.47,9.33,0.01,0.14,0.25,1721026732097
0.82,0.14,9.77,-0.02,0.20,0.25,1721026732099
0.90,0.42,11.15,-0.04,0.35,0.22,1721026732109
0.68,0.03,10.96,0.01,0.32,0.19,1721026732112
0.52,-0.40,10.69,0.06,0.25,0.14,1721026732115
0.32,-0.57,10.46,0.09,0.16,0.07,1721026732118
0.27,-0.53,10.09,0.10,0.08,0.03,1721026732121
0.18,-0.56,9.76,0.09,-0.03,-0.01,1721026732123
-0.10,-1.97,9.55,-0.06,-0.24,-0.06,1721026732134
-0.01,-2.56,9.43,-0.05,-0.23,-0.04,1721026732137
0.04,-2.84,9.18,-0.02,-0.19,0.01,1721026732140
0.15,-3.01,9.03,0.01,-0.14,0.07,1721026732143
0.15,-2.88,8.96,0.04,-0.10,0.10,1721026732146
0.17,-2.34,8.60,0.07,-0.03,0.13,1721026732148
0.45,-1.68,8.34,0.02,0.10,0.10,1721026732159
0.39,-1.03,8.45,-0.02,0.10,0.09,1721026732162
0.43,-0.78,8.93,-0.04,0.09,0.06,1721026732165
0.44,-0.62,9.27,-0.03,0.07,0.04,1721026732168
0.39,-0.54,9.29,-0.00,0.06,0.03,1721026732171
0.26,-0.61,9.08,0.05,0.03,0.01,1721026732173
-0.14,-1.54,7.73,0.08,-0.09,-0.03,1721026732184
0.04,-1.62,9.00,-0.01,-0.10,-0.00,1721026732187
0.11,-1.06,9.91,-0.14,-0.08,0.04,1721026732190
0.07,-0.77,10.21,-0.20,-0.06,0.06,1721026732193
0.15,-1.05,10.91,-0.21,-0.01,0.09,1721026732196
0.32,-1.98,11.78,-0.18,0.04,0.12,1721026732198
0.53,-1.02,12.65,-0.00,0.11,0.17,1721026732208
0.70,-0.51,12.64,0.00,0.09,0.16,1721026732211
0.82,-0.64,12.42,-0.05,0.03,0.15,1721026732214
0.80,-1.07,11.90,-0.07,-0.02,0.15,1721026732217
0.81,-1.70,11.56,-0.10,-0.10,0.14,1721026732220
0.90,-2.00,11.11,-0.08,-0.18,0.11,1721026732222
1.55,-0.58,12.05,-0.04,-0.28,0.03,1721026732233
1.66,-0.86,12.05,-0.05,-0.24,0.02,1721026732236
1.64,-2.03,11.96,-0.07,-0.18,0.01,1721026732239
1.62,-2.70,11.59,-0.07,-0.13,0.02,1721026732242
1.58,-3.12,10.93,-0.05,-0.08,0.03,1721026732245
1.54,-3.21,10.43,-0.00,-0.03,0.04,1721026732247
1.63,-1.60,10.99,0.02,0.08,0.02,1721026732258
