AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
2.30,4.14,7.78,0.54,-0.25,0.18,1720428544790
2.32,0.80,6.23,0.44,-0.08,0.14,1720428544793
2.42,0.37,3.96,0.33,0.09,0.04,1720428544796
2.31,1.96,3.57,0.26,0.23,-0.08,1720428544799
2.23,3.76,3.19,0.12,0.26,-0.15,1720428544801
2.19,4.45,3.78,-0.18,0.22,-0.17,1720428544804
1.99,2.50,5.43,-0.55,0.13,-0.16,1720428544807
1.96,-1.55,7.90,-0.78,0.06,-0.18,1720428544810
1.84,-3.78,9.79,-0.82,0.05,-0.24,1720428544813
1.52,-4.62,12.32,-0.69,0.06,-0.36,1720428544816
1.02,-3.36,13.81,-0.51,0.06,-0.48,1720428544819
0.53,-0.18,14.61,-0.29,0.02,-0.59,1720428544822
0.16,2.82,15.40,-0.14,-0.04,-0.66,1720428544825
-0.10,3.67,15.85,-0.10,-0.09,-0.69,1720428544828
-0.39,2.56,15.94,-0.05,-0.10,-0.66,1720428544831
-0.83,1.99,15.37,0.14,-0.04,-0.60,1720428544834
-1.30,2.59,14.89,0.33,0.02,-0.60,1720428544836
-1.92,3.53,13.92,0.54,0.11,-0.63,1720428544839
-2.14,3.29,11.83,0.56,0.16,-0.66,1720428544842
-2.36,1.97,8.50,0.60,0.16,-0.61,1720428544845
-2.71,0.83,5.46,0.70,0.09,-0.54,1720428544848
-3.27,1.23,3.13,0.75,-0.02,-0.53,1720428544851
-3.48,3.09,1.86,0.68,-0.16,-0.59,1720428544854
-3.19,2.88,1.36,0.52,-0.26,-0.61,1720428544857
-2.88,-0.34,2.15,0.28,-0.29,-0.54,1720428544860
-2.86,-2.26,3.54,0.03,-0.22,-0.43,1720428544863
-3.28,-1.33,5.09,-0.17,-0.08,-0.34,1720428544866
-3.58,-0.35,6.25,-0.32,0.01,-0.30,1720428544868
-4.07,0.92,7.69,-0.54,0.10,-0.24,1720428544871
-4.30,1.06,9.49,-0.72,0.14,-0.14,1720428544874
-4.20,-1.38,11.62,-0.83,0.14,0.01,1720428544877
-3.91,-4.02,13.40,-0.81,0.17,0.14,1720428544880
-3.67,-4.10,14.52,-0.61,0.23,0.19,1720428544883
-3.75,-1.96,15.41,-0.38,0.26,0.19,1720428544886
-3.30,0.42,15.99,-0.30,0.21,0.21,1720428544889
-2.53,1.59,16.48,-0.28,0.10,0.31,1720428544892
-2.28,1.24,16.76,-0.22,-0.02,0.43,1720428544895
-2.20,-0.21,16.50,-0.05,-0.13,0.46,1720428544898
-1.70,-1.13,15.90,0.26,-0.20,0.42,1720428544900
-1.26,-0.98,15.50,0.49,-0.22,0.41,1720428544903
-0.75,0.91,14.44,0.76,-0.23,0.43,1720428544906
-0.24,2.25,11.47,0.92,-0.22,0.47,1720428544909
0.50,1.74,7.40,1.09,-0.17,0.52,1720428544912
0.60,2.98,4.49,1.11,-0.10,0.51,1720428544915
0.82,3.75,2.53,0.97,-0.00,0.40,1720428544918
1.55,0.60,2.38,0.69,0.11,0.28,1720428544921
1.85,-3.07,2.04,0.41,0.24,0.22,1720428544924
1.74,-4.45,0.74,0.27,0.31,0.20,1720428544927
1.28,-3.40,0.06,0.24,0.30,0.15,1720428544930
0.53,-0.73,0.77,0.08,0.18,0.04,1720428544932
0.56,0.08,1.07,-0.15,0.04,-0.02,1720428544935
1.00,-1.58,2.51,-0.52,-0.17,-0.01,1720428544938
1.17,-4.58,5.06,-0.82,-0.31,0.05,1720428544941
1.13,-5.91,7.92,-0.99,-0.33,0.08,1720428544944
0.94,-5.16,10.44,-1.01,-0.26,0.04,1720428544947
0.74,-2.86,12.78,-0.96,-0.16,-0.01,1720428544950
0.59,-0.96,14.64,-0.88,-0.09,-0.01,1720428544953
0.60,-1.74,16.69,-0.88,-0.06,0.04,1720428544956
0.53,-2.58,18.06,-0.87,-0.04,0.08,1720428544959
0.19,-4.76,19.06,-0.71,-0.02,0.07,1720428544962
-0.16,-4.98,19.47,-0.47,-0.01,0.01,1720428544964
-0.28,-3.47,19.65,-0.24,-0.02,-0.04,1720428544967
-0.20,-2.29,20.04,0.05,-0.05,-0.06,1720428544970
-0.23,-2.02,19.78,0.19,-0.08,-0.02,1720428544973
-0.59,-3.00,18.81,0.32,-0.09,0.01,1720428544976
-1.04,-3.49,16.90,0.59,-0.05,0.01,1720428544979
-1.20,-4.99,15.16,0.95,0.02,0.01,1720428544982
-1.12,-4.18,11.42,1.23,0.07,0.02,1720428544985
-1.22,-3.77,6.23,1.53,0.07,0.09,1720428544988
-1.68,-1.61,2.59,1.59,-0.03,0.12,1720428544991
-1.38,-0.75,1.39,1.47,-0.12,0.07,1720428544994
-0.84,-1.87,0.99,1.21,-0.18,0.05,1720428544996
-0.53,-4.15,0.88,1.00,-0.20,0.11,1720428544999
-0.37,-5.11,1.04,0.88,-0.20,0.16,1720428545002
